number,year,corr1,corr2,corr3,corr4,corr5,corr6,corr7,corr8,corr9,corr10,corr11,corr12,corr13,corr14,corr15
397,2012,neurodevelopmental*executive*striatal_ukn,,,,,,,,,,,,,,
398,2011,degenerative*motor*CST_ukn,degenerative*motor*CC,,,,,,,,,,,,,
399,2010,neurological*symptoms*CST_lh,neurological*motor*CST_lh,,,,,,,,,,,,,
402,2011,controls*language*AF_lh,,,,,,,,,,,,,,
403,2011,controls*auditory*Ufibers_lh,,,,,,,,,,,,,,
406,2009,controls*executive*IFOF_lh,controls*executive*IFOF_rh,controls*executive*uncinate_lh,controls*executive*uncinate_rh,controls*executive*AFlong_lh,controls*executive*AFlong_rh,controls*executive*ILF_rh,,,,,,,,
407,2009,controls*language*CC,,,,,,,,,,,,,,
408,2007,neurodevelopmental*attention*SLF3_rh,neurodevelopmental*attention*AFant_rh,,,,,,,,,,,,,
409,2006,degenerative*symptoms*CC,,,,,,,,,,,,,,
410,2008,neurological*memory*uncinate_lh,neurological*social*uncinate_lh,,,,,,,,,,,,,
411,2008,psychiatric*addiction*CC,,,,,,,,,,,,,,
414,2009,psychiatric*executive*cingulum_lh,,,,,,,,,,,,,,
415,2009,degenerative*memory*uncinate_ukn,,,,,,,,,,,,,,
417,2011,degenerative*motor*CST_ukn,,,,,,,,,,,,,,
418,2011,controls*memory*limbic_lh,,,,,,,,,,,,,,
419,2011,neurological*motor*CST_ukn,,,,,,,,,,,,,,
422,2012,neurological*motor*CST_ukn,neurological*motor*CC,,,,,,,,,,,,,
424,2012,neurological*symptoms*cingulum_ukn,neurological*symptoms*projection_ukn,neurological*symptoms*CC,,,,,,,,,,,,
425,2012,neurological*attention*CST_lh,neurological*attention*IFOF_lh,neurological*executive*IFOF_lh,neurological*executive*IFOF_rh,neurological*executive*CST_lh,,,,,,,,,,
426,2013,psychiatric*motor*projection_lh,psychiatric*motor*striatal_rh,psychiatric*motor*thalamic_lh,,,,,,,,,,,,
429,2013,neurological*motor*CST_ukn,,,,,,,,,,,,,,
431,2013,controls*auditory*CC,controls*executive*uncinate_lh,,,,,,,,,,,,,
432,2013,controls*executive*AF_rh,controls*executive*ILF_lh,controls*executive*cingulum_lh,,,,,,,,,,,,
433,2014,controls*language*uncinate_rh,,,,,,,,,,,,,,
434,2014,neurological*motor*striatal_ukn,,,,,,,,,,,,,,
435,2014,degenerative*motor*projection_rh,,,,,,,,,,,,,,
436,2014,neurological*language*SLF_rh,neurological*memory*SLF_rh,,,,,,,,,,,,,
437,2014,psychiatric*symptoms*AF_rh,,,,,,,,,,,,,,
438,2015,psychiatric*symptoms*limbic_lh,,,,,,,,,,,,,,
440,2015,neurological*visual*ILF_rh,neurological*visual*ILF_lh,,,,,,,,,,,,,
441,2015,controls*visual*ILF_lh,controls*visual*ILF_rh,controls*visual*fornix,,,,,,,,,,,,
443,2015,degenerative*executive*cingulum_ukn,,,,,,,,,,,,,,
444,2015,controls*executive*striatal_lh,controls*executive*limbic_lh,controls*executive*thalamic_lh,,,,,,,,,,,,
445,2015,controls*attention*SLF1_lh,controls*attention*SLF1_rh,,,,,,,,,,,,,
446,2015,degenerative*memory*fornix,degenerative*memory*cingulum_lh,,,,,,,,,,,,,
448,2015,controls*auditory*cerebellar_lh,,,,,,,,,,,,,,
449,2016,neurological*motor*thalamic_ukn,,,,,,,,,,,,,,
450,2016,degenerative*motor*CC,degenerative*motor*Ufibers_ukn,,,,,,,,,,,,,
456,2016,neurodevelopmental*symptoms*AF_lh,neurodevelopmental*symptoms*AF_rh,,,,,,,,,,,,,
457,2016,controls*motor*CC,,,,,,,,,,,,,,
458,2016,controls*language*AFlong_lh,,,,,,,,,,,,,,
459,2016,degenerative*motor*cingulum_lh,degenerative*motor*ILF_rh,degenerative*motor*thalamic_rh,,,,,,,,,,,,
460,2016,degenerative*executive*thalamic_rh,,,,,,,,,,,,,,
464,2017,neurological*language*AF_lh,,,,,,,,,,,,,,
